,Address,Price,Beds,Baths,City,Area,Street,Description
1124,27 Luxton Ave,998000,3,3,Aurora,Bayview Wellington,Luxton Ave,"Absolutely Stunning, Well Maintained Townhouse In Most Desirable Neighborhood In Aurora; On Main Floor This Gem Features 9 Ft Ceiling, Living Room And Open Concept Kitchen With Family Size Breakfast Eat-In Area, Upgraded Cabinet, New Pantry, Stainless Steel Appliances..."
1125,69 Bawden Dr,1190000,3,3,Richmond Hill,Rural Richmond Hill,Bawden Dr,"Modern Townhouse Located In Prestigious Richland Community. Brick Stone Exterior. Premium Lot Facing Park. Close To Future School.  Double Front Door. 9' Ceilings On The Main & 2nd.  Wrought Iron Pickets W/Upgraded Handrail And Post, Stained Oak Stairs Matching..."
1126,339 William Graham Dr,1199000,4,4,,Rural Aurora,William Graham Dr,"Location! Location! Location! 4 Yrs New Luxury Freehold Townhome With Oversized Double Car Garage In Aurora, 4 Bedrooms 4 Bathrooms With Many Large Windows, Direct Facing South Woodlot, 2nd Fl W/O To Huge Terrance, Hardwood Floor Throughout, All Floors With 9 Ft Smooth..."
1127,2 Loyal Blue Cres,1688000,4+2,4,,Devonsleigh,Loyal Blue Cres,"Elegant Model Home With Fine Craftsmanship In High Demand Central Richmond Hill. Steps To Top Ranked Richmond Hill Hs. Hardwood Flr/Cornice Moulding/Pot Lights Thourghout, Main Floor Office, Sun-Filled Large Family Rm W/Wood Burning Fireplace, Chef's Kitchen W/Solid..."
1128,44 Taurus Cres,2198000,4,4,East Gwillimbury,Sharon,Taurus Cres,"Immaculate >4500Sf 3-Garage Home Nested In Village Of Sharon W/2 Door Entrance Open To A Grand Foyer, 9' Ceiling On Main Floor With Pot Lights/Crown Moulding/Hardwood, Cathedral Ceiling Over Dining Room, Well Upgraded Finishing All Over Along With High End Appliances..."
1129,310 Lakeview Blvd,599900,2,1,,Keswick South,Lakeview Blvd,"Well Maintained 2 Bedroom Bungalow Steps To Lake Simcoe & Close To 404 In Sought After South End Of Keswick, Property. This  Brick Front Bungalow Is On A 50 X 120 Ft Lot With Fenced Yard, Deck And Garden Shed. Walk To The Beach On Lake Simcoe. Fridge, Stove, B/I..."
1130,127 Wagner Cres,699900,3,3,Essa,Angus,Wagner Cres,"Elegant Freehold Town With Updates Gallore! This Beauty Boasts Open Concept Floorplan 1720Sqft With 9Ft Ceilings, Sunfilled Living Spaces, Upgraded Laminate, Oak Stairs, Lights & Potlights, Quartz Throughout. Custom Modern Kitchen Upgraded Sink, Backsplash, Walkin..."
1131,3657 Concession 4 Rd,2050000,2,1,Clarington,Orono,Concession 4 Rd,"Attention Developers/Builders/Investors! Rarely Available! Beautiful 5-Acre Rural Cluster Zoned Property With Existing And Well-Maintained Bungalow, Renovated Barn/Workshop And Creek Running Through The Property. This Premium Property Offers Tons Of Potential For..."
1132,857 Glenbrae St,950000,3,3,Oshawa,Northglen,Glenbrae St,"This Is The One! No Expense Spared In The Redesign Of This Spectacular 3 Bdrm, 3 Bath Brick Bungalow In Desired 'The Glens'. Stunning Renovations In 2019 Incl: Vaulted Ceilings, Gorgeous Kitchen W/Large Island That Seats 4, Pot Drawers, Pantry Wall, Pendant Lighting..."
1133,331 Bluejay Cres,799000,4,3,,Eastdale,Bluejay Cres,"Are You Looking For A Fabulous 4 Bedroom Family Home In One Of The Most Desirable Locations Within Oshawa?  Here You Go!  This Charming Home Has Been Recently Updated With A Chef Inspired Gourmet Kitchen With Quartz Countertops, Painted In Neutral Colour Tones..."
1134,264 Swindells St,799900,3,3,,Bowmanville,Swindells St,Beautiful Modernly Updated Freehold (No Condo Fees) Townhouse In Most Sought-After Location In A Family Friendly Community. Enjoy Mornings At The Live-Edge Oak Breakfast Bar Overlooking The Open Concept Custom Kitchen With Stainless Steel Appliances! High Quality...
1135,231 Cornwallis Crt,998888,3,2,,Donevan,Cornwallis Crt,"Sought After Athabasca Forest! Quiet Court,Generous 68.67 Frontage & Large Private Back Yard.A Jeffery Built, Efficient 3 Bdrm Raised Bungalow. Exc. Condition,Lovingly Cared For By Same Owner Since 1985.Eat-In Kit,New Bkspl,Counter Under Cabinet Lights 5 Years Old..."
1136,63 Enchanted Hills Cres,999000,3,3,Toronto,Milliken,Enchanted Hills Cres,"** Location ! Location ! **Lovely 3-Bedroom Single Detached Home In High Demand Milliken Community Area. Perfect Functional Layout, Bright & Spacious,  Front Porch Encloser,No Side Walk,Cozy Family Rm W/Fireplace,Eat In Kitchen,2Pc Ensuite Master Br With W/I Closet..."
1137,106 Wintermute Blvd,1198800,3+2,6,,Steeles,Wintermute Blvd,"Location!!! Bright, Spacious, $$$ Spend, Corner Lot  On Wintermute! Large 2 Car Garage W/  Massive Pro Finished Interlock Driveway From Front To Back Yard. Open To Above Staircase W/ New  Skylight, Functional Interior W/ Large Brs  W 2 Ensuite On 2nd Flr & Spacious..."
1138,4 Alomar St,1099000,4,4,Whitby,Williamsburg,Alomar St,Sophisticated Home In Sought After Williamsburg! Living/Dining Rm Feature Hardwood Floor & Double Side Fireplace. Beautifully Updated Kitchen With Quartz Counters. Gorgeous Backsplash & Breakfast Bar. Master Brm With 5 Pc Ensuite & W/I Closet. Professionally Finished...
1139,289 Ballard St,669900,2+2,1,Oshawa,Lakeview,Ballard St,"Located On A Very Quiet Street This Well Cared For 2+2-Bedroom Brick Bungalow Boasts A Steel Roof, A Carport & A Large 45 X 146' Lot.  Main Level Has A Living Room With Laminate Floor That Overlooks The Front Yard; Eat-In Kitchen With Ceramic Floor & Backsplash; A 4Pc..."
1140,665 Cricklewood Dr 715,799000,2,2,Mississauga,Mineola,Cricklewood Dr,"Welcome To Luxury At It's Finest, ""The Reserve"" By Queenscorp. Situated In The Most Exclusive Mississauga  Neighborhood Of Mineola,  This Beautiful Unit Is Less Than A Year Old, Has Over 1280 Sq/Ft Of Living Space + An Additional 420 Sq/Ft Of Roof Top Entertainment..."
1141,18 Applewood Lane 19,899000,3,3,Toronto,Etobicoke West Mall,Applewood Lane,"Beautiful Menkes Built Largest End Unit Condo Townhome At Dwell Towns. Se Facing Lots Of Sunlight, Open Concept Living Space W/ 9Ft Ceiling, Modern Kitchen With Breakfast Bar, High End Finish, Granite Countertops. Ensuite Bath, Walk In Closet, Freshly Painted, Upgraded..."
1142,2555 Thomas St 76,799000,3,4,,Central Erin Mills,Thomas St,"*Welcome Home* This Gorgeous 3 Bed/4 Bath Unit Features A Spacious Floor Plan, Complete With Professional Renovations. Includes Modern Kitchen With Quartz Countertops, Wood Floors Throughout, Pot Lights, Finished Basement With A Full Washroom & Laundry. This Is Exactly..."
1143,1 Falaise Rd 219,549900,1+1,2,,West Hill,Falaise Rd,"Exclusive West Hill Neighborhood, 6 Stories Sweetlife Condos. Located Conveniently Within Minuest Drive To Guildwood Go Station, 401, Uoft Scarborough & Centennial College, Lake Ontario & Pan-Am Centre, Right Across The Road From Shops, Restaurants & Fast Food, Tim..."
1144,60 Shuter St 2210,549800,1,1,,Church-Yonge Corridor,Shuter St,"Welcome To Fleur Condo, This Brand New High-Ris Condo Nestled In The Heart Of Toronto! Unit Features The Highest Quality Menkes Finishes! Enjoy The Bright Unit With The Downtown Street View By The Flr To Ceiling Windows. Full Gym With Crossfit Equipment. Steps  Away..."
1145,30 Roehampton Ave 1907,599000,1,1,,Mount Pleasant West,Roehampton Ave,"Welcome To Minto's New 30 Roehampton Ave At Yonge & Eglinton In The Heart Of Entertainment Area. Upgraded Spacious And Very Bright One Bedroom With Walking Closet,  Unobstructed North View . Steps To Subway, Shopping, Restaurants, Entertainment, 9 Ft Ceilings, Modern..."
1146,205 Frederick St 1104,658000,1+1,1,,Waterfront Communities C8,Frederick St,"The Rezen - Highly Sought After Boutique Building In The St. Lawrence Market Neighbourhood. Sun-Filled West-Facing 618 Sf 1 Bdrm + Den Suite With 9' Ceilings, Massive Balcony, Floor-To-Ceiling Windows, Upgraded Finishes And Unobstructed Views. Beautifully Maintained..."
1147,22 Olive Ave Lph11,649000,1,1,,Willowdale East,Olive Ave," Fridge, Stove,  Dishwasher, Range Hood, Washer, Dryer, All Electrical Light Fixtures, All Window Coverings"
1148,118 Finch Ave 3,699999,2+1,3,,Newtonbrook West,Finch Ave,"Welcome To This Beautiful, Spacious 2Bdrm+Den Condo Townhouse In Toronto's Sought After Neighbourhood. Short Walk To Ttc Subway,Yonge St,Restaurants & Edithvale Community Ctr, Park, Bball Crts, Best Outdoor Gym In North York. Easy Access To 401/407. Features Include..."
1149,50 Lynn Williams St 212,579900,1,2,,Niagara,Lynn Williams St,Welcome To #212 And All Its Convenience! Skip The Elevators And Walk Up To This 635 Sq Ft 2-Storey Loft. Locker Right Across The Hall For Extra Storage. Sunny Unit With Floor To Ceiling Windows And View Of Liberty Village Park. Well-Managed And Cared-For Building...
1150,70 Queens Wharf Rd 1811,660000,1+1,1,,Waterfront Communities C1,Queens Wharf Rd,"Enjoy A Clear View Of Cn Tower From This Nearly 3 Years New Unit. Ideal For A User Or Investor!!! Forward Condos At City Place, 1+1 Suite W/Balc. 1 Park.Total Area: 626 Sq. Ft. Interior 575 Sq. Ft. As Per Builder Floor Plans. Cn Tower, Lakeview, L-Shaped Kitchen..."
1151,170 Chiltern Hill Rd 511,699999,1,1,,Humewood-Cedarvale,Chiltern Hill Rd,"Welcome To The Hill's Bright And Airy 1 Bedroom Plus Den Suite. Clean And Modern With North View Balcony. This Gen Offers Wall-To-Wall Windows With Custom Blinds, Laminate Flooring, A Walk-In Closet, Stainless Steel Kitchen Appliances. Easy Access To 401, Allen Rd..."
1152,1198 Valens Rd,1999000,3,2,Hamilton,Rural Flamborough,Valens Rd,"Your Opportunity Awaits,Rural Living At Its Finest. A Rare 50 Acre Wooded Property Offering Privacy & Peace Mins From Hwy 6 Easy Access To Hamilton, Cambridge & Guelph.At The End Of A Tree Lined Driveway Sits A Brick 1950 Sqft Home Waiting For Your Finishing Touches..."
1153,3860 Ryan Ave,849900,3,3,Fort Erie,,,"Welcome To Beautiful 3860 Ryan Avenue In South Coast Village In Crystal Beach Just Couple Min Walk To Lake Erie's Waterfront & Beaches, And Only Seconds Away From Restaurants And Shops. The Main-Floor Features A Master Bedroom With 4-Piece Ensuite And Large Walk-In..."
1154,7770 Redbud Lane,699900,3,3,Niagara Falls,,,Location!!! Location!!!Wow Lovely Home ! Modern Open Concept Living & Dining With Gorgeous 3 Bedroom Freehold Townhouse With Large 3 Bedroom & 3 Washrooms 2.5 Years Old In A Highly Desirable Area Of Niagara Falls. Engineered Laminate Throughout Main Level(Hardwood...
1155,275 Hixon Rd,1197000,4,3,,Red Hill,Hixon Rd,Over 17000 Sq Ft Private Lot Overlooking Red Hill Valley Prkwy With Large Bungalow Located In Developing Area On Quite Dead-End Street With 20X40 Ft Concrete Inground Pool.  Just Over 3100 Sq Ft Of Living Space With 4 Beds And 3 Wash.  Many Possibilities With Property...
1156,40 Treeline Blvd,1699900,4+3,4,Brampton,Vales of Castlemore,Treeline Blvd,Absolutely Gorgeous! Ravine & Big 54 Ft Lot! Bright & Spacious 4+3 W Practical & Rare Layout With Sep Ent Bsmt In The Highly Desirable Vales Of The Castlemore. Serene Backyard-Enjoy Your Morning Coffee Or Glass Of Wine & Bbq In Privacy. Huge Gourmet Kitchen W Granite C...
1157,8 Menoke Crt,999000,3,4,,Heart Lake West,Menoke Crt,"Fully Renovated And Meticulous Maintained Detached Home On Family Friendly Court. Custom Kitchen W/ Granite Counters And High End S/S Appliances. Open Concept Main Floor With Hardwood Floors, Pot Lights And Walk-Out To Oversized Custom Deck Overlooking A Park. 3 Good..."
1158,35 Avondale Blvd,849500,3+1,2,,Avondale,Avondale Blvd,"This Beautiful Raised Bungalow Is Priced To Sell! Featuring A Warm & Inviting L/R & D/R With Hardwood Floors. Family Size Kitchen With Ceramic Floors, Pot Lights, Built In Microwave & Dishwasher. 3 Good Size Bedrooms All With Hardwood Floors. Back 2 Bedrooms Have Walk..."
1159,181 Sunforest Dr,899500,3,2,Brampton,Heart Lake West,Sunforest Dr,"This Gorgeous Heart Lake Home Is A Must See! Featuring A Family Size Eat-In Kitchen With Maple Cabinets, Under Cabinet Lighting, Pot Drawers, Built In Oven & Gas Stove Top. Large L/R & D/R With Elegant Laminate Floors. Warm & Inviting Family Room With Cozy Gas..."
1160,39 Oakwood Ave,2388000,3,5,Mississauga,Port Credit,Oakwood Ave,"Gorgeous Brand New Custom Built Semi-Detached By Easton Homes Situated On A Mature Lot In The Heart Of Port Credit, Steps To The Lake, Mins To Toronto, Walk To Mentor College & Go Train.  Open Concept Design, 10' Ceilings, 3600Sqft Of Luxury High Quality Finishes..."
1161,6450 Hampden Woods Rd,949900,3,4,,Lisgar,Hampden Woods Rd,"Move In Ready And Maintained With Care, This 3 Bed Lovely Lisgar Home Offers Over 2,400 Sqft Of Finished Living Space With A Bright Open Concept Layout. Large Living Room W/Pot Lights, Bright White Kitchen W/Breakfast Bar, Room For 8 Seat Dining Table. Large Primary..."
1162,1178 Randolf Gate,3199000,4,6,,Lorne Park,Randolf Gate,"Sought After Lorne Park Watercolours. Over 6500 Sf Of Living Space. Backyard Oasis With Pool, Hot Tub, Pergola & Outdoor Kitchen. Mature Landscaping Front & Back. Luxury Upgrades Throughout Including Downsview Kitchen. Relax In The Primary Bedroom With Spa-Inspire 5..."
1163,3 Penguin Lane,999000,3,4,,Sandringham-Wellington,Penguin Lane,"Beautiful 3 Bdrm, 4 Bath, Stone & Brick Semi-Detached Home Located In The Desirable Trinity Common Mall Area Of Springdale! Double Door Entry, Hardwood Flooring On Main, Spacious Living Room And Beautiful Eat In Kitchen With St/St Appliances, Walk Out To Backyard..."
1164,3656 Sawmill Valley Dr,1998000,4+1,4,,Erin Mills,Sawmill Valley Dr,"Stunning 4+1 Bdrm Sensational Home In Sought After Erin Mills.Beautifully Renovated Throughout With High-End Finishes. Appr. 2000 Sqft Above Grade.Must See, Entertainer's Dream Home - Open Concept Eat-In Kitchen W/ Centre Island Combined With Dining Room Overlooking..."
1165,14 Fenchurch Dr,1649999,4+1,4,,Northwest Brampton,Fenchurch Dr,"Fully Upgraded Six Years New Detached Home With Tons Of High-End Upgrades, 4 Spacious Bedrooms, 4 Washrooms, Premium Hardwood Floors, Beautiful Designer Choice Kitchen With Top Of The Line S/S Appliances, Elegant Great Room, Clear View Backyard With Huge Deck & Gazebo..."
1166,84 Brucker Rd,649900,3,3,Barrie,Holly,Brucker Rd,"Spacious & Bright Townhome In South Barrie's Popular Holly Neigbourhood! No Sidewalk! Approx.1300 S.F.Plus Finished Basement! 2 Full Baths + Powder! Open-Concept Main Flr., Kitchen W/Breakfast Area, New Fridge. Huge Prim.Bedrm W/4 Pc Ensuite & Walk-In Closet! Basement..."
1167,32 High Tide Dr,799000,3,3,Wasaga Beach,Wasaga Beach,High Tide Dr,"***Last Of Builder's Inventory!*** In Highly Coveted Georgian Sands Master-Planned Community By Elm Developments. This Never Lived In, Executive End Unit Townhouse W/Double-Car Garage Features Custom Upgrades Featuring Beautiful Hardwood Floors, Pot-Lights Throughout..."
1168,293 Matchedash St,899900,5,4,Orillia,Orillia,Matchedash St,"Attention Investors, Fully Tenanted Legal Tri-Plex With Additional In-Law Suite! Three One Bedroom One Bath Apartments With One Bedroom In-Law Suite In Orillia Near All Major Amenities And Only Minutes From Orillia's Waterfront Parks! One Suite Has In-Suite Laundry..."
1169,4 Graham Cres,1288000,3+2,3,Markham,Raymerville,Graham Cres,"Double Garage Home! Fresh Painted,New Roof(2021), Linked Only At Foundation*Finished Basement*Well Maintained Front Garden*Open Concept*Excellent Location*Spacious Master Bedroom*Walk In Closet In Second Bedroom*Open Concept Kitchen/Eat In Kitchen/Family Room*Shed In..."
1170,70 Pickett Cres,2698999,4+2,3,Richmond Hill,Westbrook,Pickett Cres,"Prime Location Walking Distance To Yonge,Parks,Hospital,Schools & Close-By Amenities,P/Transit. Backs On Park W/ Fantastic View. Gorgeous Open Concept Bright 4 Bdrm Home W/Ample Natural Light Fully Renovated Worry-Free Modern Design W/ $$$ Upgrades Top To Bottom..."
1171,35 Camlaren Cres,2095000,4,3,Vaughan,Kleinburg,Camlaren Cres,Wow!!! Beautiful 4 Bedroom 4-Level Back Split In The Highly Sought After Kleinburg Village. This Home Is Nestled On A Premium Pie Shaped Lot. Well Maintained Home. Move In Ready. This Home Has Great Potential To Either Live In Or Convert To A Beautiful Custom Home In...
1172,229 Elm Ave,599000,2,1,Georgina,Keswick South,Elm Ave,"Bright Bungalow Located In Desirable South Keswick Neighborhood. 2 Br Bungalow On Large Premium Lot, Deep 50'X191' Lot To Invest Or Build Your Dream Home. Very Near The Lake, Newer Laminate Floor, Newer Kitchen, Fresh Painted, Steel Roof And Nice Board And Baton..."
1173,8 Bennington Rd T466,1338888,3+1,4,Newmarket,Summerhill Estates,Bennington Rd,Assignment Sale-3 Story Freehold Town House. New Pre-Construction By Regal Crest Homes. Best Location On The Street .Only 3 Homes Distance To Yonge St. Just North Of Aurora And Entrance To Newmarket. Premium End-Unit Town House With Double Car Garage Looks Like A Semi...
1174,51 Puccini Dr,3088000,4,5,,Oak Ridges,Puccini Dr,Custom Built House Never Live In Located On Prestige Oak Ridge.European Appliance Package.Custom Build Lighting Thru-Out.Each Bm Has Ensuite&Walk In Closets .Gorgeous 22Ft Foyer Features Open Concept Living. Hardwood Fl Thru-Out. Elegant Finishes With A Ton Of Upgrades...
1175,80 Bendamere Cres,1299888,3+1,4,Bendamere Cres,,,"Beautiful Well Maintained Detached 3Bedrm + Finished Separate Ent Bsmt Family Home In Desired Raymerville Community. Modern Kitchen W/Quartz Countertop, Backsplash, B/I Appliance, Spa-Like 4-Pc Ensuite, Upgraded 2nd Baths W/Glass Shower, Pot Lights, Hardwood Floors..."
1176,2 Pettit Crt,875000,4,2,New Tecumseth,Tottenham,Pettit Crt,"Beautiful 4 Bedroom Upgraded Family Home In A Child Friendly Court. Open Concept, Bright With A Family Size Kitchen Including Porcelain Floor, Glass Backsplash, Quartz Countertop, Lots Of Cabinets, Lights Under Cabinets, Pot Lighting, Hardwood Floor In Living, Dining..."
1177,166 Driscoll Rd,1389000,3+1,2,,Mill Pond,Driscoll Rd,"This Fabulous Cozy Bungalow Is Located In The Prestigious Area Of Mill Pond. Gorgeous Private Landscaped Lot Backs Onto Mackillop P.S. (Jk-Grade8), And Is A 2 Min Walk From Bradstock Park. Steps From Transit, Shopping, Downtown Richmond Hill. Centrally Located To All..."
